Game Name,Release Date,Publisher,URL,Description
Call of Duty: Modern Warfare 3,11/8/2011,Activision,https://store.steampowered.com/app/115300/Call_of_Duty_Modern_Warfare_3/,The best-selling first-person action series of all-time returns with an epic sequel to the multiple GOTY award winner Call of Duty: Modern Warfare 2
Counter-Strike: Global Offensive,8/21/2012,Valve,https://store.steampowered.com/app/730/CounterStrike_Global_Offensive/,"Counter-Strike: Global Offensive (CS: GO) expands upon the team-based action gameplay that it pioneered when it was launched 19 years ago. CS: GO features new maps, characters, weapons, and game modes, and delivers updated versions of the classic CS content (de_dust2, etc.)."
Dota 2,7/9/2013,Value,https://store.steampowered.com/app/570/Dota_2/,"Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own."
PLAYERUNKNOWN'S BATTLEGROUNDS,12/21/2017,PUBG Corporation,https://store.steampowered.com/app/578080/PLAYERUNKNOWNS_BATTLEGROUNDS/,PLAYERUNKNOWN'S BATTLEGROUNDS is a battle royale shooter that pits 100 players against each other in a struggle for survival. Gather supplies and outwit your opponents to become the last person standing.
Grand Theft Auto V,4/14/2015,Rockstar Games,https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/,"Grand Theft Auto V for PC offers players the option to explore the award-winning world of Los Santos and Blaine County in resolutions of up to 4k and beyond, as well as the chance to experience the game running at 60 frames per second."
Mount & Blade II: Bannerlord,3/30/2020,TaleWorlds Entertainment,https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord/,"The horns sound, the ravens gather. An empire is torn by civil war. Beyond its borders, new kingdoms rise. Gird on your sword, don your armour, summon your followers and ride forth to win glory on the battlefields of Calradia. Establish your hegemony and create a new world out of the ashes of the old."
Tom Clancy's Rainbow Six Siege,12/1/2015,Ubisoft,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/,Tom Clancy's Rainbow Six Siege is the latest installment of the acclaimed first-person shooter franchise developed by the renowned Ubisoft Montreal studio.
MONSTER HUNTER: WORLD,8/9/2018,"CAPCOM Co., Ltd.",https://store.steampowered.com/app/582010/MONSTER_HUNTER_WORLD/,"Welcome to a new world! In Monster Hunter: World, the latest installment in the series, you can enjoy the ultimate hunting experience, using everything at your disposal to hunt monsters in a new world teeming with surprises and excitement."
ARK: Survival Evolved,8/27/2017,Studio Wildcard,https://store.steampowered.com/app/346110/ARK_Survival_Evolved/,"Stranded on the shores of a mysterious island, you must learn to survive. Use your cunning to kill or tame the primeval creatures roaming the land, and encounter other players to survive, dominate... and escape!"
Team Fortress 2,10/10/2007,Valve,https://store.steampowered.com/app/440/Team_Fortress_2/,"Nine distinct classes provide a broad range of tactical abilities and personalities. Constantly updated with new game modes, maps, equipment and, most importantly, hats!"
